each_cy,pingyin,input_index,output_index
饮鸩止渴,"['yin', 'zhen', 'zhi', 'ke']",12,11
退避三舍,"['tui', 'bi', 'san', 'she']",4,14
世外桃源,"['shi', 'wai', 'tao', 'yuan']",144,19
水深火热,"['shui', 'shen', 'huo', 're']",22,2
假公济私,"['jia', 'gong', 'ji', 'si']",11,32
孤掌难鸣,"['gu', 'zhang', 'nan', 'ming']",40,40
偃旗息鼓,"['yan', 'qi', 'xi', 'gu']",41,44
妄自尊大,"['wang', 'zi', 'zun', 'da']",12,37
得心应手,"['de', 'xin', 'ying', 'shou']",23,33
乘风破浪,"['cheng', 'feng', 'po', 'lang']",35,7
满城风雨,"['man', 'cheng', 'feng', 'yu']",5,65
敝帚自珍,"['bi', 'zhou', 'zi', 'zhen']",34,8
兔死狗烹,"['tu', 'si', 'gou', 'peng']",18,9
抛砖引玉,"['pao', 'zhuan', 'yin', 'yu']",2,65
门庭若市,"['men', 'ting', 'ruo', 'shi']",6,99
杀身成仁,"['sha', 'shen', 'cheng', 'ren']",3,28
一视同仁,"['yi', 'shi', 'tong', 'ren']",126,28
雪中送炭,"['xue', 'zhong', 'song', 'tan']",11,15
甘拜下风,"['gan', 'bai', 'xia', 'feng']",13,52
